Rung_X,Rung_Y,Rung_Z
0.06,-0.11,11.77
-0.04,3.95,18.01
-0.72,-0.09,17.09
0.41,2.80,4.79
0.35,1.59,13.28
2.28,1.63,8.65
0.02,6.42,3.90
-0.45,7.46,18.67
-1.19,2.51,19.61
-0.30,1.27,9.15
0.10,1.02,-1.43
-0.32,4.06,-1.78
1.51,10.53,17.95
1.36,8.07,7.86
2.97,-0.47,11.20
2.95,3.51,15.23
2.28,-3.47,13.45
1.57,0.76,19.61
2.38,2.00,14.19
-0.30,7.27,6.77
0.54,-1.76,17.53
0.80,3.02,2.17
1.65,7.04,15.36
2.68,-6.33,14.36
1.44,6.16,12.81
0.91,-3.40,11.31
1.43,4.52,13.45
0.58,6.79,17.66
-0.51,7.43,7.52
0.53,1.91,-1.10
1.59,-0.19,19.61
1.55,-0.27,7.48
3.51,4.81,5.88
2.15,-3.36,11.29
1.88,-3.74,19.46
2.41,3.13,11.11
0.93,-0.88,10.58
3.75,-2.24,19.61
0.62,3.91,-3.31
2.16,5.43,19.61
2.33,-2.10,10.66
0.47,-1.26,7.35
1.90,-3.01,9.70
2.49,-4.63,19.61
-1.19,1.48,1.53
2.83,3.46,4.85
-0.29,-1.29,5.80
0.68,2.22,6.09
-0.20,0.50,-0.61
2.79,-2.96,19.61
2.63,4.35,6.56
0.52,1.37,3.19
3.66,0.15,19.61
0.16,2.34,9.72
0.79,-2.71,11.56
2.52,0.79,5.63
0.34,3.84,18.16
0.90,-2.66,8.62
-0.19,2.91,11.69
1.14,-2.23,11.97
1.87,6.43,9.83
1.38,3.79,8.18
1.74,-0.74,17.09
1.92,-6.03,6.86
-0.02,6.90,6.58
2.84,3.63,16.36
1.43,-0.52,4.10
0.30,1.20,11.85
-0.19,7.79,9.68
1.44,4.64,10.84
1.13,8.87,19.48
-0.44,-0.79,5.61
1.50,-0.66,7.84
2.25,6.50,19.61
0.54,1.03,10.47
2.46,-2.67,18.90
-3.67,-0.60,1.44
2.94,-4.14,19.61
0.45,2.74,7.00
3.74,4.10,19.61
1.37,1.83,18.32
2.00,4.64,19.61
1.99,2.42,9.75
1.08,-0.01,-5.79
0.73,4.18,8.55
0.59,-1.36,3.01
0.73,12.67,4.09
2.11,3.29,11.57
-0.99,2.57,8.13
4.12,-5.28,19.61
2.23,2.65,19.61
0.76,5.27,10.84
0.11,0.18,11.87
2.62,-5.94,13.96
-1.12,-2.99,12.75
1.20,-4.45,17.67
-0.13,2.50,4.70
0.71,-4.95,13.46
3.40,1.00,10.00
2.08,-2.25,4.03
1.41,6.87,10.09
1.75,3.33,19.61
3.81,-3.32,18.33
1.11,0.06,-3.61
4.64,-0.74,19.61
0.69,2.98,3.73
2.58,4.36,19.61
2.60,-6.54,17.50
3.16,4.26,17.75
0.04,6.65,19.61
4.14,-0.94,15.76
0.01,5.36,2.14
7.38,-4.69,19.61
1.13,6.32,6.33
-1.12,-2.56,8.62
0.66,-1.30,19.61
2.46,-4.66,19.61
-0.14,-0.80,7.02
-1.86,5.37,-2.26
0.55,0.73,7.41
1.33,-1.74,14.71
0.44,0.69,12.62
1.72,-1.82,10.56
3.02,-3.74,19.61
1.20,5.09,9.20
0.44,-0.82,4.02
0.27,-0.43,19.61
-3.98,5.61,-3.38
2.51,-1.40,10.82
2.57,-3.09,17.78
1.30,-1.05,17.62
0.03,-0.26,4.45
1.95,4.40,-2.53
-0.28,6.18,1.93
3.48,-7.62,19.61
0.11,2.53,8.53
-2.01,1.58,11.70
2.84,0.71,19.61
0.16,0.72,0.63
0.74,6.70,8.76
2.46,-3.93,19.61
2.43,-2.59,11.49
0.34,-1.15,9.94
-1.63,8.01,3.50
3.44,1.13,18.27
0.45,-2.93,7.76
2.22,5.40,11.02
1.23,1.89,5.46
4.10,0.12,6.68
2.33,5.09,19.61
0.86,1.61,13.84
3.38,-5.08,15.19
-0.62,4.85,9.82
0.40,1.17,8.04
4.02,-0.95,9.62
1.50,2.28,9.78
0.25,2.78,16.14
2.89,1.25,10.72
2.48,3.54,11.77
0.22,2.61,8.86
2.60,4.17,19.61
2.62,-5.86,9.68
0.80,-0.78,11.38
0.59,2.73,-3.62
3.73,-0.48,9.29
3.02,2.33,19.61
2.15,5.27,13.08
2.77,0.92,2.89
2.29,0.91,4.77
1.38,-1.56,2.17
-0.31,1.30,4.80
3.26,-4.54,7.38
2.61,-1.13,13.36
2.48,3.07,10.67
-0.47,-1.55,6.67
1.54,0.91,9.79
3.57,7.67,13.45
-0.06,3.20,3.74
2.12,-1.07,13.23
3.68,2.19,19.61
1.72,0.68,14.99
4.20,2.89,19.61
4.31,2.20,12.46
2.33,-1.14,10.46
2.57,4.51,14.59
-0.21,0.81,9.59
3.87,6.47,10.03
1.92,2.58,9.67
2.78,2.47,11.11
1.88,2.06,14.73
