Rung_X,Rung_Y,Rung_Z
-0.16,-0.28,11.70
0.13,0.47,12.34
-1.06,-0.50,8.24
1.58,0.88,19.44
0.28,2.02,13.41
-0.60,1.64,12.58
0.88,2.79,19.20
-0.32,3.69,11.72
3.01,-3.49,19.61
2.55,-1.81,0.17
-0.22,1.53,11.33
-1.63,3.91,8.07
1.45,3.41,19.61
0.52,-0.26,19.61
1.53,-3.21,16.11
0.80,2.49,13.58
-1.13,3.88,7.81
-0.06,-0.20,11.73
0.88,-1.11,13.47
-0.95,-2.78,5.14
0.43,-1.81,13.27
0.28,6.14,9.88
0.75,2.21,5.88
0.62,-0.42,5.35
2.29,-0.89,17.81
1.19,-1.12,9.57
0.55,0.32,12.15
-0.16,4.11,8.80
0.30,-3.39,15.29
0.52,2.58,15.32
-1.74,3.02,7.49
-0.53,1.83,9.31
0.39,1.50,12.48
-1.94,-2.29,11.38
-1.31,1.98,13.95
1.48,-6.03,19.61
4.30,-3.84,12.14
0.26,-0.11,6.79
0.55,-2.79,14.26
0.54,-5.12,19.61
1.38,1.47,8.17
1.01,-0.05,14.77
0.86,-1.16,13.03
1.07,0.51,12.33
1.74,1.35,12.19
0.96,-1.87,14.95
3.55,-3.07,-2.15
2.83,-3.75,15.44
4.41,-4.11,10.73
4.99,4.04,19.61
-2.32,0.18,-0.42
2.00,4.29,9.73
0.97,6.92,5.95
-0.20,-1.02,3.79
-0.11,-1.02,7.35
0.58,-2.20,8.46
0.71,0.85,10.28
-0.59,-2.26,3.49
1.92,0.86,6.13
1.04,0.10,11.71
1.66,2.83,8.96
-1.76,7.42,9.58
1.54,3.20,14.48
1.75,-0.55,11.88
2.06,2.20,18.73
1.84,-1.45,14.79
1.66,0.15,3.02
-0.42,0.23,12.85
0.04,0.54,10.85
0.32,-0.58,13.28
1.94,0.28,9.92
1.74,-1.52,14.44
0.49,0.90,9.73
0.84,0.05,12.29
-0.37,3.85,8.26
0.14,0.06,15.66
-0.49,4.42,14.36
