Rung_X,Rung_Y,Rung_Z
0.02,0.24,11.72
-0.70,1.70,12.77
0.15,0.85,11.71
0.39,-1.27,9.73
0.32,0.91,14.52
0.37,0.28,10.83
-0.31,0.12,13.37
-0.43,0.02,14.92
0.19,0.16,11.40
-0.75,1.20,10.84
0.81,-0.26,10.37
-0.20,2.00,8.92
-0.33,-0.45,8.25
-0.07,0.36,13.43
1.12,0.32,13.26
-0.13,1.72,13.53
0.57,-3.37,7.84
-0.28,0.33,10.83
0.59,0.16,13.79
1.89,0.16,17.83
0.76,0.93,13.47
-0.05,-1.20,11.54
2.12,0.52,14.32
2.42,0.46,9.41
1.35,-0.28,7.30
1.51,0.65,11.48
-0.11,0.71,11.50
-0.13,0.04,8.48
-0.02,2.01,8.52
0.34,0.34,11.02
0.02,1.06,12.24
-0.30,0.55,10.77
-0.48,-1.14,9.57
0.18,4.23,12.50
1.07,-0.90,16.56
-0.56,0.31,13.31
-0.53,0.24,7.70
-0.18,1.54,12.94
-1.52,-1.20,12.17
-0.30,-0.85,13.96
-0.02,-2.02,5.38
0.17,2.26,15.75
0.96,-0.16,19.61
-0.41,2.33,12.70
1.57,3.65,6.96
2.40,-0.17,19.42
1.60,0.33,16.93
0.65,-0.89,6.45
0.16,-0.11,10.13
2.15,-3.39,12.46
1.08,-1.75,9.15
0.41,-0.36,16.09
-0.16,3.47,15.10
0.56,0.66,12.63
1.33,2.09,13.26
1.47,0.54,9.65
-0.79,4.36,8.79
0.40,3.06,10.21
0.70,-0.59,8.15
0.23,-0.09,9.66
0.17,-0.69,16.72
0.91,1.30,14.13
1.09,-0.41,8.80
1.52,-2.05,19.61
1.69,1.81,13.41
2.69,-2.76,15.99
1.08,-2.05,11.32
0.69,1.62,11.29
2.36,2.57,8.06
1.44,0.39,19.01
1.71,-1.70,10.29
0.40,-0.07,14.90
1.77,1.85,14.12
-0.17,2.01,11.02
0.17,3.52,8.34
1.39,2.00,8.16
1.60,0.47,7.09
1.73,0.70,13.98
0.52,1.11,12.71
-0.28,0.00,8.56
-1.12,3.88,6.74
1.61,1.81,13.57
0.70,1.10,13.89
-0.59,-5.28,7.23
2.47,-2.35,16.11
0.73,0.48,12.04
1.44,-1.88,8.71
1.12,-4.10,5.55
-1.98,4.90,4.59
1.26,-1.35,14.63
-0.14,-0.93,10.43
-0.57,5.95,10.55
-0.06,2.54,19.61
0.63,2.50,17.10
0.30,2.32,9.68
0.45,0.00,13.69
0.71,3.62,13.41
1.25,-1.16,15.51
0.74,1.39,8.64
0.23,1.59,10.73
2.36,-1.51,11.17
1.23,0.68,11.68
0.62,2.04,13.01
2.82,0.96,19.61
0.59,1.74,12.46
